Job Title,Rating,Location,Headquarters,Size,company_txt,Industry,Lower Salary,Upper Salary,Avg Salary(K),job_title_sim,seniority_by_title,Python,spark,aws,sql,keras,pytorch,scikit,tensor,hadoop,flink,mongo,lat,lng
Data Engineer,3.1,"Aliso Viejo, CA","Seoul, South Korea",7,NCSOFT,Video Games,79,147,113.0,data engineer,na,1,1,1,1,0,0,0,0,0,0,1,33.5792,-117.7289
Data Scientist (Warehouse Automation),3.8,"San Francisco, CA","Paris, France",5,SoftBank Robotics,Consumer Products Manufacturing,79,127,103.0,data scientist,na,1,0,1,1,0,0,0,0,0,0,0,37.7558,-122.4449
"Scientist, Immuno-Oncology",3.9,"Cambridge, MA","Brentford, United Kingdom",9,GSK,Biotech & Pharmaceuticals,62,119,90.5,other scientist,na,0,0,1,0,0,0,0,0,0,0,0,42.3759,-71.1185
Senior Data Scientist,4.3,"Los Angeles, CA","Los Angeles, CA",4,Factual,Computer Hardware & Software,119,187,153.0,data scientist,sr,1,1,0,0,0,0,0,0,0,0,0,34.1141,-118.4068
Jr. Data Scientist,3.2,"McLean, VA","Bedford, MA",8,MITRE,Federal Agencies,81,132,106.5,data scientist,jr,1,1,0,1,0,0,0,0,1,0,0,38.9436,-77.1943
Senior Data Scientist,5.0,"Ann Arbor, MI","Ann Arbor, MI",4,SkySync,Computer Hardware & Software,120,140,130.0,data scientist,sr,0,0,0,0,0,0,0,0,0,0,0,42.2759,-83.731
Products Data Analyst II,3.3,"Dublin, CA","Dublin, CA",7,TriNet,Consulting,90,157,123.5,analyst,na,0,0,0,1,0,0,0,0,0,0,1,37.7161,-121.8963
Data Architect / Data Modeler,4.3,"New York, NY","New York, NY",7,Medidata Solutions,Enterprise Software & Network Solutions,63,110,86.5,data modeler,na,0,0,1,1,0,0,0,0,0,0,0,40.6943,-73.9249
Analytics Manager - Data Mart,3.5,"Scotts Valley, CA","Scotts Valley, CA",6,Central California Alliance for Health,Health Care Services & Hospitals,42,86,64.0,Data scientist project manager,na,0,0,0,1,0,0,0,0,0,0,0,37.0555,-122.0118
Lead Data Analyst,3.9,"New York, NY","New York, NY",5,Signpost,Internet,32,62,47.0,analyst,sr,0,1,0,1,0,0,0,0,0,0,0,40.6943,-73.9249
Data Science Engineer - Mobile,4.0,"San Jose, CA","San Jose, CA",9,Adobe,Computer Hardware & Software,116,208,162.0,data engineer,na,1,0,0,1,0,0,0,0,1,0,0,37.3012,-121.848
Senior Data Scientist Oncology,3.9,"Gaithersburg, MD","Cambridge, United Kingdom",9,AstraZeneca,Biotech & Pharmaceuticals,107,173,140.0,data scientist,sr,1,0,0,0,0,0,0,0,0,0,0,39.1346,-77.2131
Data Scientist,3.4,"Olympia, WA","Centennial, CO",4,"DatamanUSA, LLC",IT Services,65,113,89.0,data scientist,na,0,0,0,0,0,0,0,0,0,0,0,47.0417,-122.8959
Sr. Data Engineer - Contract-to-Hire (Java),3.0,"Knoxville, TN","Knoxville, TN",9,Pilot Flying J Travel Centers LLC,Gas Stations,69,127,98.0,data engineer,sr,1,0,0,1,0,0,0,0,0,0,0,35.9692,-83.9496
Senior Data Scientist - R&D Oncology,3.9,"New York, NY","Cambridge, United Kingdom",9,AstraZeneca,Biotech & Pharmaceuticals,102,172,137.0,data scientist,sr,1,0,0,0,0,0,0,0,0,0,0,40.6943,-73.9249
Data Engineer,4.0,"Denver, CO","Denver, CO",6,Pinnacol Assurance,Insurance Carriers,74,124,99.0,data engineer,na,1,0,1,1,0,0,0,0,0,0,0,39.762,-104.8758
Food Scientist - Developer,3.3,"Milwaukee, WI","Milwaukee, WI",6,Palermo's Pizza,Food & Beverage Manufacturing,40,68,54.0,other scientist,na,0,0,0,0,0,0,0,0,0,0,0,43.0642,-87.9675
Senior Data Engineer,3.2,"Franklin, TN","Indianapolis, IN",7,Equian LLC,Health Care Services & Hospitals,76,142,109.0,data engineer,sr,0,0,1,0,0,0,0,0,1,0,0,35.92,-86.8516
Data Engineer,3.4,"Rockville, MD","Reston, VA",5,MetroStar Systems,IT Services,76,142,109.0,data engineer,na,0,0,1,0,0,0,0,0,0,0,0,39.0834,-77.1553
Senior Data Scientist,4.4,"Natick, MA","Natick, MA",7,MathWorks,Computer Hardware & Software,108,171,139.5,data scientist,sr,1,0,0,1,0,0,0,0,0,0,0,,
"Director II, Data Science - GRM Actuarial",3.3,"Chicago, IL","Boston, MA",9,Liberty Mutual Insurance,Insurance Carriers,202,306,254.0,data scientist,na,1,0,0,0,0,0,0,0,0,0,0,41.8375,-87.6866
